Local Time,Device Name,deveui,Freq[Hz],BW(kHz),channel,coderate,RSSI(dBm),snrSNR(dB),SF,Temperature (F),Humidity (%),dr,fcnt,Jamming
2/8/2023 15:16,Mote05,qGEKMzA3fwE=,904100000,125,1,4/5,-59,11,10,70.36,27.45,0,8624,-1
2/8/2023 15:16,Mote04,qGEKNDBFiQo=,904500000,125,3,4/5,-65,13.5,10,69.87,27,0,22124,-1
2/8/2023 15:16,Mote02,qGEKNDExiAs=,905100000,125,6,4/5,-60,12.8,10,69.46,29.34,0,20766,-1
2/8/2023 15:16,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-66,14,10,69.87,26.97,0,22125,-1
2/8/2023 15:17,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-66,12,10,70.09,27.2,0,22640,-1
2/8/2023 15:17,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-83,9.2,10,70.29,28.84,0,22779,-1
2/8/2023 15:17,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-58,12.2,10,69.48,29.27,0,20767,-1
2/8/2023 15:18,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-76,11.2,10,70.25,28.79,0,22780,-1
2/8/2023 15:18,Mote02,qGEKNDExiAs=,904700000,125,4,4/5,-61,13.8,10,69.49,29.23,0,20768,-1
2/8/2023 15:19,Mote01,qGEKMzVBjAY=,904300000,125,2,4/5,-70,9.8,10,70.07,27.09,0,22642,-1
2/8/2023 15:19,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-63,11.8,10,69.89,26.87,0,22127,-1
2/8/2023 15:19,Mote05,qGEKMzA3fwE=,904500000,125,3,4/5,-59,10.5,10,70.36,27.37,0,8627,-1
2/8/2023 15:20,Mote04,qGEKNDBFiQo=,904500000,125,3,4/5,-64,12,10,69.91,26.9,0,22128,-1
2/8/2023 15:20,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-60,8.5,10,70.36,27.37,0,8628,-1
2/8/2023 15:21,Mote05,qGEKMzA3fwE=,905100000,125,6,4/5,-54,12,10,70.38,27.38,0,8629,-1
2/8/2023 15:21,Mote02,qGEKNDExiAs=,904700000,125,4,4/5,-60,13.2,10,69.49,29.21,0,20770,-1
2/8/2023 15:22,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-65,8.8,10,69.91,26.89,0,22130,-1
2/8/2023 15:22,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-69,12.5,10,70.11,27.11,0,22645,-1
