time,fCnt,spreading_factor,rssi,snr,crc_status,latitude,longitude,temperature,device_address,anomaly,time_difference,frame_counter_diff,rssi_mean5,snr_mean5,crc_error,cluster,rule_timedif_cluster,time_diff_device,rule_time,time_thresh_device,sf_shift,rule_crc,rule_rssi,rule_snr,rule_fcnt,rule_orphan,rule_sf_change,rule_flag
2025-01-29 16:05:09.566000+00:00,2223,12,-111,-23.0,1,47.2788,11.40189,,0049eb79,0,0.0,0.0,-114.0,-17.939999999999998,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:05:09.566000+00:00,2223,12,-117,-20.2,1,47.27009,11.41087,,0049eb79,0,0.0,0.0,-110.6,-11.64,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:06:44.907000+00:00,2224,12,-115,-24.0,1,47.28614,11.39894,,0049eb79,0,0.0,0.0,-114.6,-15.1,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:06:44.907000+00:00,2224,12,-114,-21.0,1,47.23871,11.44857,,0049eb79,0,0.0,0.0,-110.0,-15.3,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:06:44.907000+00:00,2224,12,-103,-21.0,1,47.269620217363624,11.407542228698732,,0049eb79,0,0.0,0.0,-107.6,-14.7,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:06:44.907000+00:00,2224,12,-113,-22.0,1,47.27379,11.3939,,0049eb79,0,0.0,0.0,-110.6,-20.8,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:06:44.907000+00:00,2224,12,-112,-21.0,1,47.27007,11.41084,,0049eb79,0,0.0,0.0,-100.0,-13.839999999999998,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:06:44.907000+00:00,2224,12,-105,-22.0,1,47.27221,11.42808,,0049eb79,0,0.0,0.0,-98.0,-15.6,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:06:44.907000+00:00,2224,12,-108,-24.0,1,47.27715,11.42716,,0049eb79,0,0.0,0.0,-105.8,-17.2,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:06:44.907000+00:00,2224,12,-110,-22.0,1,47.28939,11.42765,,0049eb79,0,0.0,0.0,-108.8,-20.0,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:06:44.907000+00:00,2224,12,-103,-23.0,1,47.27036,11.42637,,0049eb79,0,0.0,0.0,-106.6,-21.0,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:06:44.907000+00:00,2224,12,-110,-21.0,1,47.27926,11.4171,,0049eb79,0,0.0,0.0,-108.4,-19.36,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 15:57:26.184663+00:00,10569,9,-95,12.5,1,47.261733,11.466103,,0030a912,0,-558.722337,0.0,-95.0,12.5,False,0,False,0.0,False,59.989625991000004,,False,False,False,False,False,True,True
2025-01-29 15:57:32.145000+00:00,2774,12,-112,-22.0,1,47.26448,11.33,,01541770,0,-533.94601,0.0,-112.0,-22.0,False,0,False,0.0,False,121.08,,False,False,True,False,False,True,True
2025-01-29 15:58:28.114330+00:00,27290,12,-94,-15.0,1,47.18459,11.40491,,00771495,0,-427.24967,0.0,-94.0,-15.0,False,0,False,0.0,False,121.33327532,,False,False,False,False,False,True,True
2025-01-29 15:58:28.114330+00:00,27290,12,-113,-22.0,1,47.22108,11.40812,,00771495,0,0.0,0.0,-110.2,-10.4,False,0,False,0.0,False,121.33327532,12.0,False,False,True,False,False,False,True
2025-01-29 15:59:44.245528+00:00,27291,12,-115,-23.0,1,47.22104,11.40809,,00771495,0,0.0,0.0,-113.0,-11.2,False,0,False,0.0,False,121.33327532,12.0,False,False,True,False,False,False,True
2025-01-29 16:01:45.578807+00:00,27292,12,-115,-21.0,1,47.22104,11.4081,,00771495,0,0.0,0.0,-111.0,-8.85,False,0,False,0.0,False,121.33327532,12.0,False,False,True,False,False,False,True
2025-01-29 16:01:45.578807+00:00,27292,12,-114,-21.0,1,47.18194,11.43405,,00771495,0,0.0,0.0,-112.6,-10.5,False,0,False,0.0,False,121.33327532,12.0,False,False,True,False,False,False,True
2025-01-29 16:03:01.710000+00:00,27293,12,-116,-22.0,1,47.28613,11.39894,,00771495,0,0.0,0.0,-108.0,-9.4,False,0,False,0.0,False,121.33327532,12.0,False,False,True,False,False,False,True
